"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes"
"HKK","24218","TETRNU","Tetramelaceae",0.307,2.7,633,31.63,""
"HKK","24253","TETRNU","Tetramelaceae",0.307,3.1,630,34.43,""
"HKK","36263","TETRNU","Tetramelaceae",0.307,4,907,39.83,""
"HKK","36265","TETRNU","Tetramelaceae",0.307,3.2,652,38.23,""
"HKK","75957","TETRNU","Tetramelaceae",0.307,2.8,684,39.03,""
"HKK","50524","TETRNU","Tetramelaceae",0.307,4.01,961,38.2,""
"HKK","41329","TETRNU","Tetramelaceae",0.307,2.7,729,33,""
"HKK","41340","TETRNU","Tetramelaceae",0.307,3.2,723,36.6,""
"HKK","106067","TETRNU","Tetramelaceae",0.307,3.9,726,38.2,""
"HKK","59807","TETRNU","Tetramelaceae",0.307,4.4,852,39.03,""
"HKK","110560","TETRNU","Tetramelaceae",0.307,3.8,1031,40,""
"HKK","93654","TETRNU","Tetramelaceae",0.307,4,920,43.4,""
"HKK","64675","TETRNU","Tetramelaceae",0.307,3.6,629,39.83,""
"HKK","87145","TREWNU","Euphorbiaceae",0.44,3.05,475,30.03,""
"HKK","46156","VATIHA","Dipterocarpaceae",0.69625,3,595,34.83,""
"HKK","32538","VATIHA","Dipterocarpaceae",0.69625,1.8,406,32,""
"HKK","77613","VATIHA","Dipterocarpaceae",0.69625,2.3,312,31.4,""
"KCH","2800924","Alangium kurzii","Cornaceae",0.42,5.7,382,32.6,""
"KCH","31132","Alstonia scholaris","Apocynaceae",0.382,6,598,29.8,""
"KCH","41002","Alstonia scholaris","Apocynaceae",0.382,2.55,760,34.4,""
"KCH","91359","Alstonia scholaris","Apocynaceae",0.382,6.3,552,28.8,""
"KCH","70785","Alstonia scholaris","Apocynaceae",0.382,3.5,289,18.2,""
"KCH","91169","Bhesa cf. indica","Celastraceae",0.655,1.7,792,37.2,""
"KCH","3700360","Blumeodendron sp. 1","Euphorbiaceae",0.57625,2.9,451,30.2,""
"KCH","2000810","Bouea oppositifolia","Anacardiaceae",0.745,6.25,555,33.8,""
"KCH","3700767","Chisocheton macrophyllus","Meliaceae",0.445,3.1,482,19.6,"stem broke above"
"KCH","421286","Cinnamomum sintoc","Lauraceae",0.474415,2.08,554,27.8,""
"KCH","450654","Cleistocalyx nervosum","Myrtaceae",0.6608,3.27,1221,45,""
"KCH","3000343","Cleistocalyx nervosum","Myrtaceae",0.6608,3.6,1100,43.8,""
"KCH","561342","Cleistocalyx nervosum","Myrtaceae",0.6608,1.59,617,31.4,"together with 561343"
"KCH","3300994","Cynometra malaccensis","Fabaceae-caesalpinioideae",0.79,5.8,788,39.8,""
"KCH","530070","Cynometra malaccensis","Fabaceae-caesalpinioideae",0.79,5.49,1109,34,""
"KCH","2000843","Cynometra malaccensis","Fabaceae-caesalpinioideae",0.79,4.4,598,36,""
"KCH","1500340","Cynometra malaccensis","Fabaceae-caesalpinioideae",0.79,3.6,600,35.6,""
"KCH","590186","Cynometra malaccensis","Fabaceae-caesalpinioideae",0.79,4.89,1035,42,""
"KCH","30884","Dillenia reticulata","Dilleniaceae",0.61,2.6,417,34.6,""
"KCH","590342","Diospyros oblonga","Ebenaceae",0.75,3.9,371,28.2,""
"KCH","2500646","Diospyros transitoria","Ebenaceae",0.84,3.9,483,32.4,"Plate 219"
"KCH","1601288","Dipterocarpus grandiflorus","Dipterocarpaceae",0.67,1.68,832,41.4,"Plate 720"
"KCH","2100963","Dipterocarpus grandiflorus","Dipterocarpaceae",0.67,1.71,232,18.4,""
"KCH","1202018","Duabanga grandiflora","Lythraceae",0.379,2.4,560,31.8,""
"KCH","501802","Duabanga grandiflora","Lythraceae",0.379,1.72,406,28.6,""
"KCH","501795","Duabanga grandiflora","Lythraceae",0.379,1.7,464,28.6,""
"KCH","3102214","Duabanga grandiflora","Lythraceae",0.379,2.2,692,34.2,""
"KCH","80249","Durio lowianus","Malvaceae",0.57,5.8,938,46.2,"no tag"
"KCH","2600418","Dysoxylum alliaceum","Meliaceae",0.565,4.9,679,34.6,""
"KCH","80669","Dysoxylum densiflorum","Meliaceae",0.57,1.73,480,26.6,"Plate 543"
"KCH","520104","Gluta elegans","Anacardiaceae",0.5056,3.36,547,25,""
"KCH","1301393","Gluta elegans","Anacardiaceae",0.5056,1.66,535,20.2,""
"KCH","2101105","Hopea helferi","Dipterocarpaceae",0.88,3.9,773,41.6,""
"KCH","491413","Hopea helferi","Dipterocarpaceae",0.88,2.8,1205,53.4,""
"KCH","3100059","Horsfieldia sp. 1","Myristicaceae",0.442588,1.55,598,36.6,""
"KCH","2200814","Intsia palembanica","Fabaceae",0.658667,5.5,1161,36.2,""
"KCH","50090","Mangifera cf. lagenifera","Anacardiaceae",0.512897,1.84,472,27.4,"Plate 30"
"KCH","500033","Mangifera sp. incert. 1","Anacardiaceae",0.512897,3.03,803,37.6,""
"KCH","1800009","Mesua ferrea","Clusiaceae",0.92,1.9,409,18.2,""
"KCH","3500118","Michelia champaca","Magnoliaceae",0.5275,5.3,1291,45,""
"KCH","3900314","Michelia champaca","Magnoliaceae",0.5275,3,1100,43.8,""
"KCH","20122","Michelia champaca","Magnoliaceae",0.5275,5,764,36.2,""
"KCH","2500112","Michelia champaca","Magnoliaceae",0.5275,3.3,861,38.8,"Plate 1202"
"KCH","1601117","Microcos laurifolia","Malvaceae",0.36,1.85,252,14.6,""
"KCH","3401068","Miliusa horsfieldii","Annonaceae",0.61,1.54,153,18.8,""
"KCH","10243","Millettia atropurpurea","Fabaceae-papilionoideae",0.61,3.8,313,23.2,""
"KCH","2501952","Millettia atropurpurea","Fabaceae-papilionoideae",0.61,5.8,847,25,"very acylindrical"
"KCH","81235","Millettia atropurpurea","Fabaceae-papilionoideae",0.61,4.8,339,23.4,""
"KCH","81229","Millettia atropurpurea","Fabaceae-papilionoideae",0.61,2.25,255,17.2,""
"KCH","2101930","Neolamarckia cadamba","Rubiaceae",0.635113,2,432,26.2,""
"KCH","2201948","Neolamarckia cadamba","Rubiaceae",0.635113,2,471,45.2,""
"KCH","441975","Neolamarckia cadamba","Rubiaceae",0.635113,1.85,334,31.4,""
"KCH","2501915","Neolamarckia cadamba","Rubiaceae",0.635113,1.8,541,23.8,""
"KCH","2101657","Nothaphoebe umbelliflora","Lauraceae",0.443333,3,667,25.4,""
"KCH","2500480","Nothaphoebe umbelliflora","Lauraceae",0.443333,2.9,898,31.8,""
"KCH","2900563","Nothaphoebe umbelliflora","Lauraceae",0.443333,2.1,730,33.4,""
"KCH","2402119","Pajanelia longifolia","Bignoniaceae",0.28,1.52,290,15,""
"KCH","1200956","Palaquium cf. gutta","Sapotaceae",0.579753,5.8,1073,44,""
"KCH","30320","Palaquium cf. gutta","Sapotaceae",0.579753,3.2,614,32.8,"no tag"
"KCH","1301258","Palaquium sumatranum","Sapotaceae",0.52,2.6,401,25.6,""
"KCH","1500001","Palaquium sumatranum","Sapotaceae",0.52,3.1,533,27.4,""
"KCH","3300543","Parashorea stellata","Dipterocarpaceae",0.63,3.9,1155,48.8,""
"KCH","551376","Parashorea stellata","Dipterocarpaceae",0.63,3.34,938,41.4,""
"KCH","2901538","Parashorea stellata","Dipterocarpaceae",0.63,4,1683,41.2,""
"KCH","3200925","Parashorea stellata","Dipterocarpaceae",0.63,1.69,426,39.6,""
"KCH","3900705","Parashorea stellata","Dipterocarpaceae",0.63,3.2,1441,56.6,""
"KCH","530185","Parashorea stellata","Dipterocarpaceae",0.63,3.18,960,41.2,""
"KCH","2901427","Parashorea stellata","Dipterocarpaceae",0.63,5.1,1289,55.2,""
"KCH","3500748","Parashorea stellata","Dipterocarpaceae",0.63,4.6,1192,41.4,""
"KCH","490178","Parashorea stellata","Dipterocarpaceae",0.63,3.23,744,40.6,""
"KCH","4001643","Parashorea stellata","Dipterocarpaceae",0.63,1.79,403,27.8,""
"KCH","3801065","Parashorea stellata","Dipterocarpaceae",0.63,3,959,43.4,""
"KCH","2301015","Parashorea stellata","Dipterocarpaceae",0.63,5.5,1660,58.6,""
"KCH","3000595","Payena lanceolata","Sapotaceae",0.67,6,515,23,""
"KCH","490875","Payena lanceolata","Sapotaceae",0.67,2.3,182,13.4,""
"KCH","3401138","Payena lanceolata","Sapotaceae",0.67,4.5,624,34.8,""
"KCH","3900419","Payena lanceolata","Sapotaceae",0.67,2.5,507,29.4,""
"KCH","451491","Payena lanceolata","Sapotaceae",0.67,3.9,448,25.8,""
"KCH","3202273","Pometia pinnata","Sapindaceae",0.633,1.59,485,27.4,""
"KCH","80173","Ptychopyxis sp. 1","Euphorbiaceae",0.565,3.8,614,21.4,"Plate 40"
"KCH","1500255","Reinwardtiodendron humile","Meliaceae",0.81,2.4,388,25.2,"no tag"
"KCH","3902224","Ryparosa javanica","Achariaceae",0.45,5.8,634,25.2,""
"KCH","471385","Shorea gratissima","Dipterocarpaceae",0.64,3.05,1264,41.6,""
"KCH","411287","Shorea gratissima","Dipterocarpaceae",0.64,3.11,950,45.8,""
"KCH","2001253","Shorea gratissima","Dipterocarpaceae",0.64,2.8,1170,49.2,""
"KCH","500751","Shorea gratissima","Dipterocarpaceae",0.64,3.36,1065,35.6,""
"KCH","60204","Shorea gratissima","Dipterocarpaceae",0.64,3.15,1104,39.8,"Plate 37"
"KCH","590810","Shorea gratissima","Dipterocarpaceae",0.64,1.8,880,46.4,""
"KCH","561343","Shorea gratissima","Dipterocarpaceae",0.64,2.71,619,49,"together with 561342"
"KCH","2500567","Syzygium attenuatum","Myrtaceae",0.649229,4.8,578,31.4,"Plate 215"
"KCH","431352","Syzygium cf. oblatum","Myrtaceae",0.649229,5.15,304,22.4,""
"KCH","471427","Syzygium sp. 22 Ardisia small leaf","Myrtaceae",0.649229,1.83,543,27,""
"KCH","81259","Terminalia billirica","Combretaceae",0.554754,4.4,533,34.6,"Plate 592"
"KCH","490757","Toona sureni","Meliaceae",0.375333,2.8,1001,34.4,""
"KCH","40730","Vitex pinnata","Lamiaceae",0.550393,3.9,238,22.2,""
"KCH","450573","Xerospermum noronhianum","Sapindaceae",0.77,3.51,285,19.4,""
"KCH","1900196","Xerospermum noronhianum","Sapindaceae",0.77,2.3,401,15.8,"no tag"
